Nome prodotto;Prezzo;Link;Occasione;Per chi;Et�;Tipo persona;Sesso;Budget;Categoria regalo;Immagine;MinAge
Borsa termica portapranzo;14,99;https://www.amazon.it/Lifewit-Lattine-Portapranzo-Isolante-Termica/dp/B0B56CHMSC/ref=zg_mg_g_garden_d_sccl_16/261-1041322-4088136?th=1;Compleanno;Familiare;14-55;Pratica;Unisex;?;Food & pranzo;https://m.media-amazon.com/images/I/41p3H7BJXYL._AC_.jpg;0
Borsa termica portapranzo;14,99;https://www.amazon.it/Lifewit-Lattine-Portapranzo-Isolante-Termica/dp/B0B56CHMSC/ref=zg_mg_g_garden_d_sccl_16/261-1041322-4088136?th=1;Natale;Familiare;14-55;Pratica;Unisex;?;Food & pranzo;https://m.media-amazon.com/images/I/41p3H7BJXYL._AC_.jpg;0
Chiavetta USB personalizzata;15,9;https://www.amazon.it/Chiavetta-USB-personalizzata-tuo-testo/dp/B06XPLZPK4/ref=zg_mg_g_pc_d_sccl_28/261-1041322-4088136?th=1;Regalo aziendale;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/410+Aw0BYxL._AC_.jpg;0
Chiavetta USB personalizzata;15,9;https://www.amazon.it/Chiavetta-USB-personalizzata-tuo-testo/dp/B06XPLZPK4/ref=zg_mg_g_pc_d_sccl_28/261-1041322-4088136?th=1;Compleanno;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/410+Aw0BYxL._AC_.jpg;0
Chiavetta USB personalizzata;15,9;https://www.amazon.it/Chiavetta-USB-personalizzata-tuo-testo/dp/B06XPLZPK4/ref=zg_mg_g_pc_d_sccl_28/261-1041322-4088136?th=1;Natale;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/410+Aw0BYxL._AC_.jpg;0
Cofanetto chiavetta USB di legno;12;https://www.amazon.it/dp/B01NBGTQWS/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B01NBGTQWS&pd_rd_w=laegc&content-id=amzn1.sym.27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_p=27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_r=8DGFP32W33V52XGVT8DB&pd_rd_wg=42sCV&pd_rd_r=7864f64c-1d85-4408-81da-689c6c82d6c5&aref=c7N2xUFUv4&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw;Regalo aziendale;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41ZY1vvoMAL._AC_.jpg;0
Cofanetto chiavetta USB di legno;12;https://www.amazon.it/dp/B01NBGTQWS/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B01NBGTQWS&pd_rd_w=laegc&content-id=amzn1.sym.27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_p=27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_r=8DGFP32W33V52XGVT8DB&pd_rd_wg=42sCV&pd_rd_r=7864f64c-1d85-4408-81da-689c6c82d6c5&aref=c7N2xUFUv4&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw;Compleanno;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41ZY1vvoMAL._AC_.jpg;0
Cofanetto chiavetta USB di legno;12;https://www.amazon.it/dp/B01NBGTQWS/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B01NBGTQWS&pd_rd_w=laegc&content-id=amzn1.sym.27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_p=27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_r=8DGFP32W33V52XGVT8DB&pd_rd_wg=42sCV&pd_rd_r=7864f64c-1d85-4408-81da-689c6c82d6c5&aref=c7N2xUFUv4&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw;Natale;Collega;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41ZY1vvoMAL._AC_.jpg;0
Tappetino mouse;8,9;https://www.amazon.it/PEDEA-Design-Mauspad-cat/dp/B07MWB78RB/ref=zg_mg_g_pc_d_sccl_47/261-1041322-4088136?th=1;Regalo aziendale;Collega;14-55;Pratica;Unisex;?;Varie;https://m.media-amazon.com/images/I/51yBVg1t-HL._AC_.jpg;0
Tappetino mouse;8,9;https://www.amazon.it/PEDEA-Design-Mauspad-cat/dp/B07MWB78RB/ref=zg_mg_g_pc_d_sccl_47/261-1041322-4088136?th=1;Compleanno;Collega;14-55;Pratica;Unisex;?;Varie;https://m.media-amazon.com/images/I/51yBVg1t-HL._AC_.jpg;0
Tappetino mouse;8,9;https://www.amazon.it/PEDEA-Design-Mauspad-cat/dp/B07MWB78RB/ref=zg_mg_g_pc_d_sccl_47/261-1041322-4088136?th=1;Natale;Collega;14-55;Pratica;Unisex;?;Varie;https://m.media-amazon.com/images/I/51yBVg1t-HL._AC_.jpg;0
I-pad A16;349;https://www.amazon.it/Apple-iPad-chip-A16-fotocamera/dp/B0DZ75RKZH/ref=zg_mg_g_pc_d_sccl_41/261-1041322-4088136?th=1;Regalo aziendale;Amico;14-55;Pratica;Unisex;???;Varie;https://m.media-amazon.com/images/I/31-NvY2Tw8L._AC_.jpg;0
